,ts_code,trade_date,open,high,low,close,pre_close,pct_chg,change,vol,amount,10SMA,20SMA,50SMA,250SMA,10SMA>20SMA>50SMA,10SMA-20SMA,20SMA-50SMA,No. of days of 10SMA>20SMA>50SMA,Gain,Loss,avg_Gain,avg_Loss,RS,14RSI,9SMA (14RSI),14RSI÷9SMA-1 (%),12 EMA,26 EMA,"MACD (12, 26)",9EMA of MACD,Diff,MOM or MTM(interval 10),Avg changing percentage of last 4 days,ROC (interval 10),H-L,H-PC,L-PC,TR,ATR (14EMA) B,H-pH,pL-L,_+DM,_-DM,+DM (14EMA),-DM (14EMA),DMI (interval 14) : +DI,DMI (interval 14) : -DI,DX,ADX,_+DI - (-DI),"_+DI - (-DI)"" - ADX","BB middle (Interval 20, no. of Std Dev 2)","BB upper limit (Interval 20, no. of Std Dev 2)","BB bottom limit (Interval 20, no. of Std Dev 2)",Close > BB upper (+-%),Close > BB middle (+-%),Close > BB lower (+-%)
0,00002.HK,20210525,79.65,79.95,78.9,79.0,79.35,-0.44,-0.35,2204892.0,174562139.36,78.99000000000001,78.3725,76.552,74.41440000000001,Y,0.6175000000000068,1.8204999999999956,41.0,0.0,0.35,0.3015195599793219,0.22143029751605908,1.361690623919495,57.65745140909329,60.52669554061382,-4.740460561894134,78.8255235853704,78.04210929247884,0.783414292891564,0.8637310366144026,-0.0803167437228387,-1.3499999999999943,-0.012499999999999997,-1.6801493466085806,1.0499999999999972,0.6000000000000085,-0.44999999999998863,1.0499999999999972,0.9651106309069983,0.6000000000000085,-0.4000000000000057,0.6000000000000085,0.0,0.22030087769368215,0.14882934451221733,22.826489589763018,15.420962089325393,19.362146170084728,26.44210846409718,7.405527500437625,-19.036580963659556,78.3725,80.68517702025164,76.05982297974836,2.1331354686729753,-0.7943037974683542,-3.7217430636096727
1,00002.HK,20210524,78.5,79.35,78.5,79.35,78.7,0.83,0.65,1380315.0,109114423.67,79.12500000000001,78.26249999999999,76.44600000000001,74.4232,Y,0.8625000000000256,1.8164999999999765,40.0,0.65,0.0,0.3247133722854236,0.21154032040190976,1.5349951804388593,60.55219324610788,61.000845515434854,-0.7354853289917918,78.7938006008923,77.96547803587715,0.8283225650151422,0.8838102225451123,-0.05548765752997009,-0.3500000000000085,0.2575,-0.4391468005018927,0.8499999999999943,0.6499999999999915,-0.20000000000000284,0.8499999999999943,0.958580679438306,0.14999999999999147,0.15000000000000568,0.0,0.15000000000000568,0.1910932529008878,0.16027775562854174,19.935020285706322,16.720319850641967,8.770073945860302,26.98672094825199,3.214700435064355,-23.772020513187634,78.26249999999999,80.65328961851517,75.8717103814848,1.6424569861565042,-1.3705103969754329,-4.383477780107359
2,00002.HK,20210521,79.05,79.2,78.65,78.7,79.25,-0.69,-0.55,1943219.0,153068001.18,79.16,78.145,76.339,74.428,Y,1.0150000000000006,1.8059999999999974,39.0,0.0,0.55,0.29969132399968695,0.2278126527405182,1.315516589594519,56.81309283233791,62.83742766114348,-9.58717607170736,78.69267343741816,77.85471627874732,0.8379571586708465,0.8976821369276048,-0.059724978256758265,-0.09999999999999432,-0.24749999999999997,-0.1269035532994852,0.5499999999999972,-0.04999999999999716,-0.5999999999999943,0.5499999999999972,0.9669330393950992,-0.25,0.0,0.0,0.0,0.20579273389326377,0.1610683522153522,21.28303879470341,16.65765318311126,12.191094496370237,28.388001486897505,4.625385611592147,-23.762615875305357,78.145,80.54143485202498,75.74856514797501,2.339815568011394,-0.7052096569250432,-3.7502348818614806
3,00002.HK,20210520,78.95,79.45,78.65,79.25,79.05,0.25,0.2,2667136.0,210821582.75,79.16999999999999,78.0375,76.23400000000002,74.43120000000002,Y,1.1324999999999932,1.8034999999999712,38.0,0.2,0.0,0.32274450276889366,0.20302901064363496,1.5896472220681228,61.38470168915949,64.83042701731296,-5.314981694063626,78.69134133513056,77.7870935810471,0.9042477540834568,0.9126133814917943,-0.008365627408337462,1.2999999999999972,0.13,1.6677357280307854,0.7999999999999972,0.4000000000000057,-0.3999999999999915,0.7999999999999972,0.999004811656261,-0.3999999999999915,-0.05000000000001137,0.0,0.0,0.22162294419274559,0.173458225462687,22.184372047749648,17.36310210309285,12.191094496370228,29.633917409245758,4.821269944656798,-24.81264746458896,78.0375,80.51618412670916,75.55881587329083,1.597708677235543,-1.529968454258679,-4.657645585752901
4,00002.HK,20210518,78.95,79.85,78.6,79.05,78.55,0.64,0.5,1737744.0,137857118.05,79.03999999999999,77.92249999999999,76.11200000000002,74.42960000000001,Y,1.1175000000000068,1.810499999999962,37.0,0.5,0.0,0.33218638759727004,0.2186466268469915,1.5192843008263441,60.30618697254643,65.89333162079217,-8.479074453844671,78.58976703242702,77.67006106753087,0.9197059648961528,0.9147047883438786,0.005001176552274167,1.75,0.05250000000000002,2.263906856403622,1.25,1.2999999999999972,0.04999999999999716,1.2999999999999972,1.0143128740913583,0.14999999999999147,-0.5999999999999943,0.14999999999999147,0.0,0.23867086297680293,0.1868011658828937,23.53030007536965,18.416523210378642,12.19109449637023,30.975673017928493,5.1137768649910065,-25.861896152937486,77.92249999999999,80.37881329434987,75.4661867056501,1.6809782344716862,-1.426312460468071,-4.533603155407839
5,00002.HK,20210517,79.45,79.7,78.0,78.55,79.5,-1.19,-0.95,2628550.0,206711755.48,78.865,77.80999999999999,76.02500000000002,74.43140000000001,Y,1.0550000000000068,1.7849999999999682,36.0,0.0,0.95,0.3192776481816754,0.2354655981429139,1.3559418050865013,57.55412982438741,66.58541386485335,-13.563457094066422,78.50608831105012,77.55966595293334,0.9464223581167772,0.91345449420581,0.03296786391096718,1.7000000000000028,-0.06,2.2121014964216044,1.7000000000000028,0.20000000000000284,-1.5,1.7000000000000028,0.9923369413291553,0.10000000000000853,1.0499999999999972,0.0,1.0499999999999972,0.24549169859040382,0.20117048633542398,24.7387443081165,20.2723972027054,9.922759022535057,32.4206405965099,4.466347105411103,-27.954293491098795,77.80999999999999,80.25552652817342,75.36447347182656,2.1712622892086753,-0.9420751113940251,-4.055412511996737
6,00002.HK,20210514,79.6,79.6,79.05,79.5,78.85,0.82,0.65,2692097.0,213520074.35,78.695,77.71000000000001,75.93900000000002,74.43740000000003,Y,0.9849999999999852,1.7709999999999866,35.0,0.65,0.0,0.3438374672725735,0.1805014133846765,1.9049018000751194,65.57542840263514,67.13334088277541,-2.3206240887975738,78.49810436760468,77.48043922916801,1.0176651384366693,0.9052125282280682,0.11245261020860109,2.8499999999999943,-0.26,3.7181996086105595,0.5499999999999972,0.75,0.20000000000000284,0.75,0.9379013214313977,0.44999999999998863,-0.75,0.44999999999998863,0.0,0.26437567540505025,0.13587590836122604,28.188005429139153,14.487228587529463,32.10474917667299,34.15124687143104,13.70077684160969,-20.450470029821354,77.71000000000001,80.18963707021815,75.23036292978186,0.8674680128530232,-2.2515723270440158,-5.370612666941055
7,00002.HK,20210513,78.45,79.15,78.3,78.85,78.9,-0.06,-0.05,1948021.0,153479584.58,78.41,77.54749999999999,75.82700000000001,74.43960000000001,Y,0.8625000000000114,1.7204999999999728,34.0,0.0,0.05,0.32028650321661756,0.19438613749119008,1.647681811832562,62.231111173141244,66.43841487156789,-6.332637084373227,78.315941525351,77.31887436750145,0.9970671578495427,0.8770993756759179,0.1199677821736248,1.5,-0.26,1.9392372333548804,0.8500000000000085,0.25,-0.6000000000000085,0.8500000000000085,0.9523552692338129,-0.04999999999999716,-0.20000000000000284,0.0,0.0,0.2500968812054396,0.1463279013120896,26.260880711737656,15.364843986195723,26.176209074103866,34.308669771027816,10.896036725541933,-23.412633045485883,77.54749999999999,79.96172347764244,75.13327652235753,1.4099219754501569,-1.6518706404565764,-4.713663256363299
8,00002.HK,20210512,79.0,79.2,78.1,78.9,78.75,0.19,0.15,4122435.0,323616833.42,78.26,77.39500000000001,75.74300000000001,74.44480000000003,Y,0.8649999999999949,1.652000000000001,33.0,0.15,0.0,0.34492392654097276,0.20549276345205086,1.6785210376591018,62.66596431611559,65.95206136653152,-4.98255396772711,78.21883998450572,77.19638431690156,1.022455667604163,0.8471074301325117,0.1753482374716513,2.6000000000000085,0.039999999999999994,3.407601572739199,1.1000000000000085,0.45000000000000284,-0.6500000000000057,1.1000000000000085,0.960228751482567,-1.0499999999999972,0.30000000000001137,0.0,0.30000000000001137,0.26933510283662726,0.15758389372071185,28.04905627130839,16.411078451609225,26.176209074103866,34.93424367079119,11.637977819699167,-23.296265851092024,77.39500000000001,79.84589779468668,74.94410220531334,1.1988565205154345,-1.9074778200253384,-5.013812160566111
9,00002.HK,20210511,80.05,80.25,78.4,78.75,80.35,-1.99,-1.6,3829813.0,302773247.9,78.0,77.24249999999998,75.67800000000003,74.44920000000003,Y,0.7575000000000216,1.5644999999999527,32.0,0.0,1.6,0.35991807473643217,0.22129989910220862,1.6263815582229522,61.92480118248262,66.27094222136172,-6.558139801848439,78.0949927089613,77.06009506225368,1.0348976467076199,0.8032703707645987,0.23162727594302113,2.450000000000003,0.26499999999999996,3.2110091743119304,1.8499999999999943,-0.09999999999999432,-1.9499999999999886,1.8499999999999943,0.9494771169812255,-0.15000000000000568,1.1999999999999886,0.0,1.1999999999999886,0.290053187670214,0.14662880862230418,30.548728608901204,15.443111371498544,32.84412461828053,35.607938639767134,15.10561723740266,-20.502321402364473,77.24249999999998,79.67935760765783,74.80564239234212,1.1801366446448691,-1.9142857142857461,-5.008708073216351
